,split,sup_loss_weight,alpha,u,accuracy
269,10,0.5,0.2,0.8,0.608
270,1,0.5,0.5,0.2,0.616
271,2,0.5,0.5,0.2,0.632
272,3,0.5,0.5,0.2,0.674
273,4,0.5,0.5,0.2,0.654
274,5,0.5,0.5,0.2,0.638
275,6,0.5,0.5,0.2,0.608
276,7,0.5,0.5,0.2,0.66
277,8,0.5,0.5,0.2,0.63
278,9,0.5,0.5,0.2,0.656
279,10,0.5,0.5,0.2,0.598
280,1,0.5,0.5,0.5,0.544
281,2,0.5,0.5,0.5,0.648
282,3,0.5,0.5,0.5,0.642
283,4,0.5,0.5,0.5,0.654
284,5,0.5,0.5,0.5,0.656
285,6,0.5,0.5,0.5,0.624
286,7,0.5,0.5,0.5,0.638
287,8,0.5,0.5,0.5,0.62
288,9,0.5,0.5,0.5,0.598
289,10,0.5,0.5,0.5,0.536
290,1,0.5,0.5,0.8,0.62
291,2,0.5,0.5,0.8,0.644
292,3,0.5,0.5,0.8,0.608
293,4,0.5,0.5,0.8,0.624
294,5,0.5,0.5,0.8,0.572
295,6,0.5,0.5,0.8,0.508
296,7,0.5,0.5,0.8,0.532
297,8,0.5,0.5,0.8,0.554
298,9,0.5,0.5,0.8,0.602
299,10,0.5,0.5,0.8,0.568
300,1,0.5,0.7,0.2,0.622
301,2,0.5,0.7,0.2,0.67
302,3,0.5,0.7,0.2,0.68
303,4,0.5,0.7,0.2,0.626
304,5,0.5,0.7,0.2,0.664
305,6,0.5,0.7,0.2,0.646
306,7,0.5,0.7,0.2,0.616
307,8,0.5,0.7,0.2,0.62
308,9,0.5,0.7,0.2,0.622
309,10,0.5,0.7,0.2,0.522
310,1,0.5,0.7,0.5,0.59
311,2,0.5,0.7,0.5,0.62
312,3,0.5,0.7,0.5,0.656
313,4,0.5,0.7,0.5,0.65
314,5,0.5,0.7,0.5,0.656
315,6,0.5,0.7,0.5,0.594
316,7,0.5,0.7,0.5,0.604
317,8,0.5,0.7,0.5,0.664
318,9,0.5,0.7,0.5,0.608
319,10,0.5,0.7,0.5,0.6
320,1,0.5,0.7,0.8,0.432
321,2,0.5,0.7,0.8,0.628
322,3,0.5,0.7,0.8,0.646
323,4,0.5,0.7,0.8,0.606
324,5,0.5,0.7,0.8,0.55
325,6,0.5,0.7,0.8,0.508
326,7,0.5,0.7,0.8,0.444
327,8,0.5,0.7,0.8,0.504
328,9,0.5,0.7,0.8,0.56
329,10,0.5,0.7,0.8,0.574
330,1,0.5,0.9,0.2,0.582
331,2,0.5,0.9,0.2,0.646
332,3,0.5,0.9,0.2,0.646
333,4,0.5,0.9,0.2,0.64
334,5,0.5,0.9,0.2,0.624
335,6,0.5,0.9,0.2,0.628
336,7,0.5,0.9,0.2,0.628
337,8,0.5,0.9,0.2,0.59
338,9,0.5,0.9,0.2,0.602
339,10,0.5,0.9,0.2,0.632
340,1,0.5,0.9,0.5,0.576
341,2,0.5,0.9,0.5,0.672
342,3,0.5,0.9,0.5,0.622
343,4,0.5,0.9,0.5,0.644
344,5,0.5,0.9,0.5,0.612
345,6,0.5,0.9,0.5,0.62
346,7,0.5,0.9,0.5,0.638
347,8,0.5,0.9,0.5,0.614
348,9,0.5,0.9,0.5,0.65
349,10,0.5,0.9,0.5,0.614
350,1,0.5,0.9,0.8,0.488
351,2,0.5,0.9,0.8,0.64
352,3,0.5,0.9,0.8,0.584
353,4,0.5,0.9,0.8,0.604
354,5,0.5,0.9,0.8,0.594
355,6,0.5,0.9,0.8,0.306
356,7,0.5,0.9,0.8,0.386
357,8,0.5,0.9,0.8,0.504
358,9,0.5,0.9,0.8,0.606
359,10,0.5,0.9,0.8,0.518
360,1,0.8,0.2,0.2,0.6
361,2,0.8,0.2,0.2,0.638
362,3,0.8,0.2,0.2,0.638
363,4,0.8,0.2,0.2,0.606
364,5,0.8,0.2,0.2,0.642
365,6,0.8,0.2,0.2,0.636
366,7,0.8,0.2,0.2,0.652
367,8,0.8,0.2,0.2,0.642
368,9,0.8,0.2,0.2,0.582
369,10,0.8,0.2,0.2,0.544
370,1,0.8,0.2,0.5,0.612
371,2,0.8,0.2,0.5,0.602
372,3,0.8,0.2,0.5,0.636
373,4,0.8,0.2,0.5,0.602
374,5,0.8,0.2,0.5,0.618
375,6,0.8,0.2,0.5,0.634
376,7,0.8,0.2,0.5,0.582
377,8,0.8,0.2,0.5,0.55
378,9,0.8,0.2,0.5,0.612
379,10,0.8,0.2,0.5,0.59
380,1,0.8,0.2,0.8,0.534
381,2,0.8,0.2,0.8,0.638
382,3,0.8,0.2,0.8,0.616
383,4,0.8,0.2,0.8,0.636
384,5,0.8,0.2,0.8,0.596
385,6,0.8,0.2,0.8,0.654
386,7,0.8,0.2,0.8,0.634
387,8,0.8,0.2,0.8,0.592
388,9,0.8,0.2,0.8,0.588
389,10,0.8,0.2,0.8,0.552
390,1,0.8,0.5,0.2,0.562
391,2,0.8,0.5,0.2,0.638
392,3,0.8,0.5,0.2,0.638
393,4,0.8,0.5,0.2,0.65
394,5,0.8,0.5,0.2,0.624
395,6,0.8,0.5,0.2,0.612
396,7,0.8,0.5,0.2,0.624
397,8,0.8,0.5,0.2,0.606
398,9,0.8,0.5,0.2,0.58
399,10,0.8,0.5,0.2,0.626
400,1,0.8,0.5,0.5,0.64
401,2,0.8,0.5,0.5,0.64
402,3,0.8,0.5,0.5,0.66
403,4,0.8,0.5,0.5,0.634
404,5,0.8,0.5,0.5,0.634
405,6,0.8,0.5,0.5,0.628
406,7,0.8,0.5,0.5,0.632
407,8,0.8,0.5,0.5,0.616
408,9,0.8,0.5,0.5,0.648
409,10,0.8,0.5,0.5,0.574
410,1,0.8,0.5,0.8,0.544
411,2,0.8,0.5,0.8,0.638
412,3,0.8,0.5,0.8,0.65
413,4,0.8,0.5,0.8,0.602
414,5,0.8,0.5,0.8,0.538
415,6,0.8,0.5,0.8,0.63
416,7,0.8,0.5,0.8,0.566
417,8,0.8,0.5,0.8,0.61
418,9,0.8,0.5,0.8,0.548
419,10,0.8,0.5,0.8,0.538
420,1,0.8,0.7,0.2,0.636
421,2,0.8,0.7,0.2,0.65
422,3,0.8,0.7,0.2,0.644
423,4,0.8,0.7,0.2,0.62
424,5,0.8,0.7,0.2,0.658
425,6,0.8,0.7,0.2,0.658
426,7,0.8,0.7,0.2,0.624
427,8,0.8,0.7,0.2,0.632
428,9,0.8,0.7,0.2,0.604
429,10,0.8,0.7,0.2,0.598
430,1,0.8,0.7,0.5,0.564
431,2,0.8,0.7,0.5,0.664
432,3,0.8,0.7,0.5,0.64
433,4,0.8,0.7,0.5,0.578
434,5,0.8,0.7,0.5,0.63
435,6,0.8,0.7,0.5,0.64
436,7,0.8,0.7,0.5,0.59
437,8,0.8,0.7,0.5,0.642
438,9,0.8,0.7,0.5,0.64
439,10,0.8,0.7,0.5,0.618
440,1,0.8,0.7,0.8,0.512
441,2,0.8,0.7,0.8,0.628
442,3,0.8,0.7,0.8,0.628
443,4,0.8,0.7,0.8,0.552
444,5,0.8,0.7,0.8,0.574
445,6,0.8,0.7,0.8,0.548
446,7,0.8,0.7,0.8,0.514
447,8,0.8,0.7,0.8,0.508
448,9,0.8,0.7,0.8,0.544
449,10,0.8,0.7,0.8,0.512
450,1,0.8,0.9,0.2,0.576
451,2,0.8,0.9,0.2,0.642
452,3,0.8,0.9,0.2,0.678
453,4,0.8,0.9,0.2,0.6
454,5,0.8,0.9,0.2,0.67
455,6,0.8,0.9,0.2,0.648
456,7,0.8,0.9,0.2,0.642
457,8,0.8,0.9,0.2,0.656
458,9,0.8,0.9,0.2,0.638
459,10,0.8,0.9,0.2,0.578
460,1,0.8,0.9,0.5,0.592
461,2,0.8,0.9,0.5,0.648
462,3,0.8,0.9,0.5,0.668
463,4,0.8,0.9,0.5,0.634
464,5,0.8,0.9,0.5,0.622
465,6,0.8,0.9,0.5,0.65
466,7,0.8,0.9,0.5,0.548
467,8,0.8,0.9,0.5,0.604
468,9,0.8,0.9,0.5,0.658
469,10,0.8,0.9,0.5,0.58
470,1,0.8,0.9,0.8,0.432
471,2,0.8,0.9,0.8,0.648
472,3,0.8,0.9,0.8,0.652
473,4,0.8,0.9,0.8,0.568
474,5,0.8,0.9,0.8,0.584
475,6,0.8,0.9,0.8,0.462
476,7,0.8,0.9,0.8,0.522
477,8,0.8,0.9,0.8,0.534
478,9,0.8,0.9,0.8,0.564
479,10,0.8,0.9,0.8,0.476
