,split,sup_loss_weight,alpha,u,accuracy
460,1,0.8,0.9,0.5,0.3833088355381349
461,2,0.8,0.9,0.5,0.36812020251510696
462,3,0.8,0.9,0.5,0.2678425608361914
463,4,0.8,0.9,0.5,0.39049485546300833
464,5,0.8,0.9,0.5,0.3708966193042626
465,6,0.8,0.9,0.5,0.3687734770537318
466,7,0.8,0.9,0.5,0.3661603788992324
467,8,0.8,0.9,0.5,0.3674669279764821
468,9,0.8,0.9,0.5,0.3679568838804508
469,10,0.8,0.9,0.5,0.36812020251510696
470,1,0.8,0.9,0.8,0.36779356524579454
471,2,0.8,0.9,0.8,0.3614241384942022
472,3,0.8,0.9,0.8,0.3777560019598236
473,4,0.8,0.9,0.8,0.36861015841907563
474,5,0.8,0.9,0.8,0.37514290380532417
475,6,0.8,0.9,0.8,0.3847787032500408
476,7,0.8,0.9,0.8,0.36975338886166914
477,8,0.8,0.9,0.8,0.40699003756328594
478,9,0.8,0.9,0.8,0.3725298056508248
479,10,0.8,0.9,0.8,0.37383635472807447
