,split,sup_loss_weight,alpha,u,accuracy
331,2,0.5,0.9,0.2,0.762
332,3,0.5,0.9,0.2,0.768
333,4,0.5,0.9,0.2,0.758
334,5,0.5,0.9,0.2,0.75
335,6,0.5,0.9,0.2,0.748
336,7,0.5,0.9,0.2,0.738
337,8,0.5,0.9,0.2,0.726
338,9,0.5,0.9,0.2,0.79
339,10,0.5,0.9,0.2,0.37
340,1,0.5,0.9,0.5,0.422
341,2,0.5,0.9,0.5,0.732
342,3,0.5,0.9,0.5,0.784
343,4,0.5,0.9,0.5,0.554
344,5,0.5,0.9,0.5,0.446
345,6,0.5,0.9,0.5,0.772
346,7,0.5,0.9,0.5,0.47
347,8,0.5,0.9,0.5,0.724
348,9,0.5,0.9,0.5,0.716
349,10,0.5,0.9,0.5,0.734
350,1,0.5,0.9,0.8,0.75
351,2,0.5,0.9,0.8,0.744
352,3,0.5,0.9,0.8,0.752
353,4,0.5,0.9,0.8,0.766
354,5,0.5,0.9,0.8,0.384
355,6,0.5,0.9,0.8,0.76
356,7,0.5,0.9,0.8,0.704
357,8,0.5,0.9,0.8,0.404
358,9,0.5,0.9,0.8,0.748
359,10,0.5,0.9,0.8,0.788
360,1,0.8,0.2,0.2,0.414
361,2,0.8,0.2,0.2,0.76
362,3,0.8,0.2,0.2,0.768
363,4,0.8,0.2,0.2,0.794
364,5,0.8,0.2,0.2,0.404
365,6,0.8,0.2,0.2,0.746
366,7,0.8,0.2,0.2,0.776
367,8,0.8,0.2,0.2,0.71
368,9,0.8,0.2,0.2,0.454
369,10,0.8,0.2,0.2,0.772
370,1,0.8,0.2,0.5,0.45
371,2,0.8,0.2,0.5,0.504
372,3,0.8,0.2,0.5,0.786
373,4,0.8,0.2,0.5,0.46
374,5,0.8,0.2,0.5,0.538
375,6,0.8,0.2,0.5,0.742
376,7,0.8,0.2,0.5,0.738
377,8,0.8,0.2,0.5,0.74
378,9,0.8,0.2,0.5,0.664
379,10,0.8,0.2,0.5,0.79
380,1,0.8,0.2,0.8,0.426
381,2,0.8,0.2,0.8,0.76
382,3,0.8,0.2,0.8,0.792
383,4,0.8,0.2,0.8,0.74
384,5,0.8,0.2,0.8,0.744
385,6,0.8,0.2,0.8,0.74
386,7,0.8,0.2,0.8,0.812
387,8,0.8,0.2,0.8,0.722
388,9,0.8,0.2,0.8,0.772
389,10,0.8,0.2,0.8,0.794
390,1,0.8,0.5,0.2,0.76
391,2,0.8,0.5,0.2,0.726
392,3,0.8,0.5,0.2,0.78
393,4,0.8,0.5,0.2,0.788
394,5,0.8,0.5,0.2,0.724
395,6,0.8,0.5,0.2,0.722
396,7,0.8,0.5,0.2,0.76
397,8,0.8,0.5,0.2,0.73
398,9,0.8,0.5,0.2,0.802
399,10,0.8,0.5,0.2,0.788
400,1,0.8,0.5,0.5,0.758
401,2,0.8,0.5,0.5,0.442
402,3,0.8,0.5,0.5,0.818
403,4,0.8,0.5,0.5,0.478
404,5,0.8,0.5,0.5,0.674
405,6,0.8,0.5,0.5,0.444
406,7,0.8,0.5,0.5,0.46
407,8,0.8,0.5,0.5,0.732
408,9,0.8,0.5,0.5,0.76
409,10,0.8,0.5,0.5,0.748
410,1,0.8,0.5,0.8,0.398
411,2,0.8,0.5,0.8,0.74
412,3,0.8,0.5,0.8,0.72
413,4,0.8,0.5,0.8,0.8
414,5,0.8,0.5,0.8,0.588
415,6,0.8,0.5,0.8,0.554
416,7,0.8,0.5,0.8,0.45
417,8,0.8,0.5,0.8,0.718
418,9,0.8,0.5,0.8,0.402
419,10,0.8,0.5,0.8,0.774
420,1,0.8,0.7,0.2,0.38
421,2,0.8,0.7,0.2,0.398
422,3,0.8,0.7,0.2,0.804
423,4,0.8,0.7,0.2,0.79
424,5,0.8,0.7,0.2,0.744
425,6,0.8,0.7,0.2,0.78
426,7,0.8,0.7,0.2,0.454
427,8,0.8,0.7,0.2,0.73
428,9,0.8,0.7,0.2,0.794
429,10,0.8,0.7,0.2,0.796
430,1,0.8,0.7,0.5,0.686
431,2,0.8,0.7,0.5,0.468
432,3,0.8,0.7,0.5,0.754
433,4,0.8,0.7,0.5,0.388
434,5,0.8,0.7,0.5,0.732
435,6,0.8,0.7,0.5,0.79
436,7,0.8,0.7,0.5,0.746
437,8,0.8,0.7,0.5,0.712
438,9,0.8,0.7,0.5,0.418
439,10,0.8,0.7,0.5,0.778
440,1,0.8,0.7,0.8,0.718
441,2,0.8,0.7,0.8,0.772
442,3,0.8,0.7,0.8,0.82
443,4,0.8,0.7,0.8,0.782
444,5,0.8,0.7,0.8,0.692
445,6,0.8,0.7,0.8,0.778
446,7,0.8,0.7,0.8,0.434
447,8,0.8,0.7,0.8,0.748
448,9,0.8,0.7,0.8,0.692
449,10,0.8,0.7,0.8,0.46
450,1,0.8,0.9,0.2,0.41
451,2,0.8,0.9,0.2,0.746
